"procedure_name","definition_type","line_number","duplicate_occurrences","parameter_count","parameters","source_tables","write_targets","local_staging_objects","called_procedures","user_functions","logic_profile","data_flow_summary","statement_counts"
"[dbo].[ABC]","CREATE","9","1","0","","[UserMaster] | [BotLeadMaster] | [UserDealerMapping] | [Botleadmaster_Archive] | [SMRLead] | [SMRLead_ReportedRefuse] | [SMRRefuseForService_ReportedRefuse] | [SMRAppointment] | [SMRAppointment_ReportedRefuse]","[ccmdigitalleadswhatsappblaster]","@BotLeadMaster | @UserList","","","aggregation/reporting logic | temp or staged data handling | write-back processing","Reads data from `[UserMaster]`, `[BotLeadMaster]`, `[UserDealerMapping]`, `[Botleadmaster_Archive]`, `[SMRLead]`, `[SMRLead_ReportedRefuse]`, `[SMRRefuseForService_ReportedRefuse]`, `[SMRAppointment]`, `[SMRAppointment_ReportedRefuse]` and persists results to `[ccmdigitalleadswhatsappblaster]`. Intermediate staging uses `@BotLeadMaster`, `@UserList`.","SELECT 9; INSERT 4; UPDATE 0; DELETE 0; MERGE 0; EXEC 0"
"[dbo].[abcbot]","CREATE","105","1","0","","[abc]","","","","","read-only retrieval","Reads and returns data from `[abc]`.","SELECT 1; INSERT 0; UPDATE 0; DELETE 0; MERGE 0; EXEC 0"
"[dbo].[Abcfetch]","CREATE","117","1","0","","[usermaster] | [abctemp]","","","","[dbo].[getdate]","read-only retrieval","Reads and returns data from `[usermaster]`, `[abctemp]`.","SELECT 2; INSERT 0; UPDATE 0; DELETE 0; MERGE 0; EXEC 0"
"[dbo].[Abcgetdate]","CREATE","130","1","0","","[psfdatawithjobcardrecomendation]","","","","","read-only retrieval","Reads and returns data from `[psfdatawithjobcardrecomendation]`.","SELECT 1; INSERT 0; UPDATE 0; DELETE 0; MERGE 0; EXEC 0"
"[dbo].[Abcgetdate1]","CREATE","153","1","0","","[psfdatawithjobcardrecomendation]","","","","","read-only retrieval","Reads and returns data from `[psfdatawithjobcardrecomendation]`.","SELECT 1; INSERT 0; UPDATE 0; DELETE 0; MERGE 0; EXEC 0"
"[dbo].[Abcgetdate2]","CREATE","177","1","0","","[psfdatawithjobcardrecomendationpending]","","","","","read-only retrieval","Reads and returns data from `[psfdatawithjobcardrecomendationpending]`.","SELECT 1; INSERT 0; UPDATE 0; DELETE 0; MERGE 0; EXEC 0"
"[dbo].[Abcgetdate3]","CREATE","200","1","0","","[psfdatawithjobcardrecomendationpending]","","","","","read-only retrieval","Reads and returns data from `[psfdatawithjobcardrecomendationpending]`.","SELECT 1; INSERT 0; UPDATE 0; DELETE 0; MERGE 0; EXEC 0"
"[dbo].[AchiveDialerDashboardData]","CREATE","225","1","0","","[LastAttemptReportTodayNew] | [DealersMaster] | [SMRServiceTypeMaster] | [ChannelMaster] | [DialerUsesAutorizationSummary] | [SMRLeadFollowUp] | [SMRLead] | [DialerCallHistory] | [SMRLead_ReportedRefuse] | [WhatsAppHistory] | [SMSHistory] | [IncomingCallResponce] | [CallAgentRequest] | [DialerCallToday]","[DialerDashboardHistory]","@DateTImeSlot | @DialerDashboardHistory | @DialerDashboardHistoryReporetd | @TBL | @CompraseData","","[dbo].[getdate]","aggregation/reporting logic | temp or staged data handling | write-back processing","Reads data from `[LastAttemptReportTodayNew]`, `[DealersMaster]`, `[SMRServiceTypeMaster]`, `[ChannelMaster]`, `[DialerUsesAutorizationSummary]`, `[SMRLeadFollowUp]`, `[SMRLead]`, `[DialerCallHistory]`, `[SMRLead_ReportedRefuse]`, `[WhatsAppHistory]`, and 4 more and persists results to `[DialerDashboardHistory]`. Intermediate staging uses `@DateTImeSlot`, `@DialerDashboardHistory`, `@DialerDashboardHistoryReporetd`, `@TBL`, `@CompraseData`.","SELECT 14; INSERT 21; UPDATE 2; DELETE 0; MERGE 0; EXEC 0"
"[dbo].[AchiveDialerDashboardDatapostgray]","CREATE","550","1","2","@details dbo.type_DialerCallHistory readonly | @incommingdetails dbo.type_IncomingCallResponce readonly","","","","","","read-only retrieval","Reads and returns data from input parameters and internal expressions.","SELECT 2; INSERT 0; UPDATE 0; DELETE 0; MERGE 0; EXEC 0"
"[dbo].[ActiveUserListDeshboard]","CREATE","901","1","2","@UserId bigint | @DealerId nvarchar(max","","","","","","read-only retrieval","Reads and returns data from input parameters and internal expressions.","SELECT 1; INSERT 0; UPDATE 0; DELETE 0; MERGE 0; EXEC 0"
"[dbo].[AddLeadStatus]","CREATE","931","1","4","@LeadMasterId int | @StatusText nvarchar(Max) | @custName nvarchar(30) | @Custmobile int","","[dbo].[LeadStatus] | [dbo].[customertest]","","","[dbo].[LeadStatus] | [dbo].[customertest]","try/catch error handling | transaction control | conditional branching | write-back processing","Reads data from input parameters and internal expressions and persists results to `[dbo].[LeadStatus]`, `[dbo].[customertest]`.","SELECT 3; INSERT 2; UPDATE 0; DELETE 0; MERGE 0; EXEC 0"
